node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
0,-1.00000000000000000e+01,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00003638095335475e+02,3.00003638095335475e+02,0.00000000000000000e+00
1,-1.00000000000000000e+01,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
2,-1.00000000000000000e+01,1.00000000000000000e+01,-2.00000000000000000e+00,3.00003815501961071e+02,3.00003815501961128e+02,5.68434188608080149e-14
3,-1.00000000000000000e+01,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
4,1.00000000000000000e+01,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00003651646471326e+02,3.00003651646471837e+02,5.11590769747272134e-13
5,1.00000000000000000e+01,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
6,1.00000000000000000e+01,1.00000000000000000e+01,-2.00000000000000000e+00,3.00003864737819242e+02,3.00003864737819356e+02,1.13686837721616030e-13
7,1.00000000000000000e+01,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
8,4.74999999999999911e+00,-1.16341445918998489e-15,2.19999999999999973e-01,3.06851995288661897e+02,3.06851995288820376e+02,1.58479451783932745e-10
9,4.74999999999999911e+00,-1.16341445918998489e-15,0.00000000000000000e+00,3.06830481270843336e+02,3.06830481270999712e+02,1.56376245286082849e-10
10,5.25000000000000000e+00,-1.28587913910472103e-15,2.19999999999999973e-01,3.06838460594318462e+02,3.06838460594472565e+02,1.54102508531650528e-10
11,5.25000000000000000e+00,-1.28587913910472103e-15,0.00000000000000000e+00,3.06814786440938462e+02,3.06814786441091655e+02,1.53193013829877600e-10
12,-1.00000000000000000e+01,5.34999999999999964e+00,2.19999999999999973e-01,3.02870761275892846e+02,3.02870761275881478e+02,-1.13686837721616030e-11
