field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
0,28,1.74897022111903583e-01,1.74897022118922330e-01,7.01874669495339276e-12
1,29,1.74897899612878466e-01,1.74897899620863523e-01,7.98505706001151339e-12
2,30,2.29302183840050550e-01,2.29302183836121193e-01,-3.92935683990458529e-12
3,31,2.29286026243137764e-01,2.29286026235307250e-01,-7.83051401498369160e-12
4,32,3.00672004939714636e-04,3.00672000334566288e-04,-4.60514834816141971e-12
5,33,2.80899379687543865e-04,2.80899375128268545e-04,-4.55927532056268903e-12
6,34,2.28399696484498455e-01,2.28399696475738906e-01,-8.75954864199002259e-12
7,35,1.74894380218325318e-01,1.74894380203240968e-01,-1.50843504354014613e-11
8,36,1.19790049312928871e-03,1.19790048221972965e-03,-1.09095590634239459e-11
9,37,2.28398614726091770e-01,2.28398614727793270e-01,1.70150005196489928e-12
10,38,1.74909627028151549e-01,1.74909627011839319e-01,-1.63122293450612688e-11
11,39,1.20870079004249393e-03,1.20870077918337868e-03,-1.08591152563064508e-11
12,40,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
13,41,1.82849659664393216e-04,1.82849658094772264e-04,-1.56962095231027998e-12
14,42,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
15,43,4.30446625376568854e-04,4.30446627775704974e-04,2.39913611980308028e-12
16,44,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
17,45,1.17145848856928451e-04,1.17145847850591605e-04,-1.00633684599425038e-12
18,46,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
19,47,2.20460944724675239e-04,2.20460946248579180e-04,1.52390394140416996e-12
20,48,2.29572692811121859e-01,2.29572692811121859e-01,0.00000000000000000e+00
21,49,2.29458722389522918e-01,2.29458722390861486e-01,1.33856814521493561e-12
22,50,2.29572692811121859e-01,2.29572692811121887e-01,2.77555756156289135e-17
23,51,2.29355601986145963e-01,2.29355601983140617e-01,-3.00534597208468313e-12
24,52,2.29572692811121859e-01,2.29572692811121887e-01,2.77555756156289135e-17
25,53,2.29396359620435392e-01,2.29396359622410534e-01,1.97514227195938474e-12
26,54,2.29572692811121859e-01,2.29572692811121887e-01,2.77555756156289135e-17
27,55,2.29162813959691680e-01,2.29162813958630945e-01,-1.06073483330249019e-12
28,1202,2.28919419101065669e-01,2.28919419106766830e-01,5.70116176490387261e-12
29,1203,2.27684735053624993e-01,2.27684735059215909e-01,5.59091661855859456e-12
30,1204,2.26131618330035061e-01,2.26131618331710138e-01,1.67507674397882056e-12
31,1205,2.24474813814628277e-01,2.24474813819212582e-01,4.58430515770658076e-12
32,1206,2.22774525851509975e-01,2.22774525855835209e-01,4.32523461491030048e-12
33,1207,2.21041245318452567e-01,2.21041245332245007e-01,1.37924394127963978e-11
34,1208,2.19293479550254161e-01,2.19293479558420157e-01,8.16599565744979827e-12
35,1209,2.17538993493013866e-01,2.17538993498824496e-01,5.81062975513191304e-12
36,1210,2.15776143790359892e-01,2.15776143802148740e-01,1.17888476758309935e-11
37,1211,2.14001106893966425e-01,2.14001106896401783e-01,2.43535747124212776e-12
38,1212,2.12231171459200452e-01,2.12231171475002561e-01,1.58021096208216250e-11
39,1213,2.10457976199087987e-01,2.10457976202603092e-01,3.51510487384132375e-12
40,1214,2.08683110371055469e-01,2.08683110379495051e-01,8.43958236629305247e-12
41,1215,2.06908039976771874e-01,2.06908039981140990e-01,4.36911617995860979e-12
42,1216,2.05129545368648830e-01,2.05129545371461552e-01,2.81272227731221847e-12
43,1217,2.03352676726832604e-01,2.03352676720511966e-01,-6.32063845706909433e-12
44,1218,2.01571587550400805e-01,2.01571587549380621e-01,-1.02018393732805634e-12
45,1219,1.99798043293280214e-01,1.99798043289160204e-01,-4.12000988880834029e-12
46,1220,1.98019667061867938e-01,1.98019667057386800e-01,-4.48113768314328809e-12
47,1221,1.96235787946960644e-01,1.96235787951077933e-01,4.11728984239800866e-12
48,1222,1.94459801859885567e-01,1.94459801850591113e-01,-9.29445409525442301e-12
49,1223,1.92685778757903298e-01,1.92685778749353109e-01,-8.55018833512133369e-12
50,1224,1.90907465135476850e-01,1.90907465118915931e-01,-1.65609193025773038e-11
51,1225,1.89124001963298149e-01,1.89124001947037629e-01,-1.62605207076893521e-11
52,1226,1.87351247900817280e-01,1.87351247889791961e-01,-1.10253195462206577e-11
53,1227,1.85569153313575042e-01,1.85569153309051438e-01,-4.52360371383520032e-12
54,1228,1.83795537370818052e-01,1.83795537361648387e-01,-9.16966502728655541e-12
55,1229,1.82012860684764993e-01,1.82012860669619886e-01,-1.51451073904240729e-11
56,1230,1.80235066090859680e-01,1.80235066081307238e-01,-9.55244217060169376e-12
57,1231,1.78455485651376089e-01,1.78455485645910322e-01,-5.46576672810772379e-12
58,1232,1.76671277831478429e-01,1.76671277836067148e-01,4.58871829422946576e-12
59,1233,2.29013124801250911e-01,2.29013124806402263e-01,5.15135156753387946e-12
60,1234,2.27698017730669999e-01,2.27698017734605129e-01,3.93512999963263610e-12
61,1235,2.26134948837739380e-01,2.26134948846308470e-01,8.56908988211557698e-12
62,1236,2.24472799588643301e-01,2.24472799593620181e-01,4.97688001921403611e-12
63,1237,2.22772626059646595e-01,2.22772626065969981e-01,6.32338625905504159e-12
64,1238,2.21041755296735781e-01,2.21041755308345439e-01,1.16096576796564932e-11
65,1239,2.19294717772638259e-01,2.19294717781751275e-01,9.11301589745505680e-12
66,1240,2.17538240310294034e-01,2.17538240317403375e-01,7.10934089376280554e-12
67,1241,2.15774199363565233e-01,2.15774199376087772e-01,1.25225385616545282e-11
68,1242,2.14008434030697581e-01,2.14008434030471040e-01,-2.26541008174763192e-13
69,1243,2.12237814868523250e-01,2.12237814879906922e-01,1.13836717829940426e-11
70,1244,2.10464189782163719e-01,2.10464189787952116e-01,5.78839753906379428e-12
71,1245,2.08689534901072560e-01,2.08689534909482360e-01,8.40980063365748265e-12
72,1246,2.06907476617221642e-01,2.06907476621802866e-01,4.58122428881324595e-12
73,1247,2.05129913839060957e-01,2.05129913843922651e-01,4.86169438040917612e-12
74,1248,2.03353277184880110e-01,2.03353277174244590e-01,-1.06355202422747652e-11
75,1249,2.01578876533152929e-01,2.01578876532606810e-01,-5.46118705813114502e-13
76,1250,1.99797319505797433e-01,1.99797319495790354e-01,-1.00070784991856954e-11
77,1251,1.98019759538665852e-01,1.98019759541387924e-01,2.72207256735157443e-12
78,1252,1.96242588190193246e-01,1.96242588194980472e-01,4.78722617103244374e-12
79,1253,1.94466019793655964e-01,1.94466019782453897e-01,-1.12020670517409826e-11
80,1254,1.92685545841146361e-01,1.92685545836238759e-01,-4.90760210247742634e-12
