cell_id,node_0,node_1,node_2,node_3,region_id,region_name
0,6402,6403,6404,6405,0,silica
1,135,4710,2126,2363,0,silica
2,6406,497,6407,2486,0,silica
3,5936,5047,5945,5289,0,silica
4,5910,5935,5047,5282,0,silica
5,5047,5189,5910,5282,0,silica
6,5936,6162,6068,5189,0,silica
7,5675,5189,5658,5674,0,silica
8,5675,5189,6068,5658,0,silica
9,6408,6409,6410,6411,0,silica
10,6068,5655,5658,5189,0,silica
11,6068,5189,4885,5655,0,silica
12,6068,4885,5657,5655,0,silica
13,6412,3954,4164,3956,0,silica
14,6413,6414,6415,6416,0,silica
15,5936,6068,5675,5189,0,silica
16,6417,6418,6419,6420,0,silica
17,6421,6422,6423,6424,0,silica
18,6425,6426,6427,1193,0,silica
19,6428,6429,6430,6431,0,silica
20,6432,6433,6434,6435,0,silica
21,6436,4135,6437,3582,0,silica
22,6438,6439,6440,6441,0,silica
23,6162,5289,4885,5189,0,silica
24,6442,6443,6444,6445,0,silica
25,6446,6447,1217,1248,0,silica
26,5946,4981,5046,5047,0,silica
27,6063,4981,5641,5045,0,silica
28,5945,5046,5289,5047,0,silica
29,6448,1159,6449,1158,0,silica
30,6450,3617,4310,4009,0,silica
31,5945,5046,5947,5948,0,silica
32,6068,4885,6162,5657,0,silica
33,6451,3247,1116,1187,0,silica
34,6452,6453,6454,6455,0,silica
35,5952,5048,6377,6343,0,silica
36,6456,6457,6458,6459,0,silica
37,6460,6461,6462,3581,0,silica
38,4182,6463,4027,6464,0,silica
39,6465,6466,6467,6468,0,silica
40,6469,6470,3809,3951,0,silica
41,5952,6060,5949,5048,0,silica
42,6471,6472,3642,4251,0,silica
43,6473,3335,6474,3374,0,silica
44,6460,6475,6461,3631,0,silica
45,5949,5050,5948,5046,0,silica
46,5949,5048,6060,5050,0,silica
47,6060,5293,5269,5050,0,silica
48,6375,5269,6341,6046,0,silica
49,6476,6454,6477,6478,0,silica
50,6479,4887,6480,5230,0,silica
51,6467,4407,1551,1552,0,silica
52,6481,6482,6483,1458,0,silica
53,6484,6485,6486,6487,0,silica
54,5949,6060,5950,5050,0,silica
55,6488,6489,6490,6491,0,silica
56,6492,4351,3544,1455,0,silica
57,6060,5048,5293,5050,0,silica
58,6493,6494,6495,6496,0,silica
59,6497,6498,6499,6500,0,silica
60,6501,6502,6503,6504,0,silica
61,5050,6062,5950,5948,0,silica
62,5936,5675,5047,5189,0,silica
63,6505,6506,6507,6508,0,silica
64,4885,6162,6062,5289,0,silica
65,5962,4815,4885,5188,0,silica
66,5962,5640,4815,5188,0,silica
67,5962,4815,5640,5652,0,silica
