node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
0,-1.00000000000000000e+01,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00032742858020356e+02,3.00032742858018139e+02,-2.21689333557151258e-12
1,-1.00000000000000000e+01,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
2,-1.00000000000000000e+01,1.00000000000000000e+01,-2.00000000000000000e+00,3.00034339517650722e+02,3.00034339517649983e+02,-7.38964445190504193e-13
3,-1.00000000000000000e+01,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
4,1.00000000000000000e+01,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00032864818243922e+02,3.00032864818243411e+02,-5.11590769747272134e-13
5,1.00000000000000000e+01,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
6,1.00000000000000000e+01,1.00000000000000000e+01,-2.00000000000000000e+00,3.00034782640373294e+02,3.00034782640375226e+02,1.93267624126747251e-12
7,1.00000000000000000e+01,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
8,4.74999999999999911e+00,-1.16341445918998489e-15,2.19999999999999973e-01,3.61667957597980603e+02,3.61667957599401575e+02,1.42097178468247876e-09
9,4.74999999999999911e+00,-1.16341445918998489e-15,0.00000000000000000e+00,3.61474331437613216e+02,3.61474331439015202e+02,1.40198608278296888e-09
10,5.25000000000000000e+00,-1.28587913910472103e-15,2.19999999999999973e-01,3.61546145348891571e+02,3.61546145350272297e+02,1.38072664412902668e-09
11,5.25000000000000000e+00,-1.28587913910472103e-15,0.00000000000000000e+00,3.61333077968468501e+02,3.61333077969842975e+02,1.37447386805433780e-09
12,-1.00000000000000000e+01,5.34999999999999964e+00,2.19999999999999973e-01,3.25836851483028397e+02,3.25836851482922839e+02,-1.05558228824520484e-10
13,-1.00000000000000000e+01,5.34999999999999964e+00,0.00000000000000000e+00,3.25795220458298388e+02,3.25795220458193455e+02,-1.04932951217051595e-10
14,-1.00000000000000000e+01,5.84999999999999876e+00,2.19999999999999973e-01,3.25785092709227229e+02,3.25785092709121727e+02,-1.05501385405659676e-10
15,-1.00000000000000000e+01,5.84999999999999876e+00,0.00000000000000000e+00,3.25737709238000264e+02,3.25737709237896922e+02,-1.03341335488948971e-10
16,1.00000000000000000e+01,5.34999999999999964e+00,2.19999999999999973e-01,3.25814077530610859e+02,3.25814077532535634e+02,1.92477500604582019e-09
17,1.00000000000000000e+01,5.34999999999999964e+00,0.00000000000000000e+00,3.25773579883258606e+02,3.25773579885182187e+02,1.92358129424974322e-09
18,1.00000000000000000e+01,5.84999999999999876e+00,2.19999999999999973e-01,3.25756628559371279e+02,3.25756628561291109e+02,1.91982962860492989e-09
19,1.00000000000000000e+01,5.84999999999999876e+00,0.00000000000000000e+00,3.25718332230177509e+02,3.25718332232095065e+02,1.91755589185049757e-09
20,-1.00000000000000000e+01,-5.84999999999999876e+00,2.19999999999999973e-01,3.24299061760124573e+02,3.24299061758243795e+02,-1.88077819984755479e-09
21,-1.00000000000000000e+01,-5.84999999999999876e+00,0.00000000000000000e+00,3.24255765503548844e+02,3.24255765501671760e+02,-1.87708337762160227e-09
22,-1.00000000000000000e+01,-5.34999999999999964e+00,2.19999999999999973e-01,3.24352743465891876e+02,3.24352743464004391e+02,-1.88748572327313013e-09
23,-1.00000000000000000e+01,-5.34999999999999964e+00,0.00000000000000000e+00,3.24294241892507500e+02,3.24294241890621322e+02,-1.88617832463933155e-09
24,1.00000000000000000e+01,-5.84999999999999876e+00,2.19999999999999973e-01,3.24298858260880422e+02,3.24298858260901511e+02,2.10889083973597735e-11
25,1.00000000000000000e+01,-5.84999999999999876e+00,0.00000000000000000e+00,3.24260154366164898e+02,3.24260154366188317e+02,2.34194885706529021e-11
26,1.00000000000000000e+01,-5.34999999999999964e+00,2.19999999999999973e-01,3.24343740713579336e+02,3.24343740713593547e+02,1.42108547152020037e-11
27,1.00000000000000000e+01,-5.34999999999999964e+00,0.00000000000000000e+00,3.24310663303786100e+02,3.24310663303800936e+02,1.48361323226708919e-11
