field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
0,28,5.24691066335490786e-01,5.24691066356767100e-01,2.12763140439164999e-11
1,29,5.24693698838539224e-01,5.24693698862590652e-01,2.40514275162695412e-11
2,30,6.87906551519737453e-01,6.87906551508363551e-01,-1.13739018203773412e-11
3,31,6.87858078729376987e-01,6.87858078705921749e-01,-2.34552377520458322e-11
4,32,9.02016015223762522e-04,9.02016001003699028e-04,-1.42200634947742266e-11
5,33,8.42698139462277028e-04,8.42698125384805743e-04,-1.40774712850330608e-11
6,34,6.85199089453912613e-01,6.85199089427217189e-01,-2.66954236494143515e-11
7,35,5.24683140655043845e-01,5.24683140609723098e-01,-4.53207471551309027e-11
8,36,3.59370147898426537e-03,3.59370144665918916e-03,-3.23250762095106392e-11
9,37,6.85195844177713953e-01,6.85195844183380087e-01,5.66613422847694892e-12
10,38,5.24728881084133625e-01,5.24728881035518069e-01,-4.86155560253109797e-11
11,39,3.62610236972780520e-03,3.62610233755013625e-03,-3.21776689495012480e-11
12,40,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
13,41,5.48548979216635668e-04,5.48548974284316791e-04,-4.93231887624401288e-12
14,42,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
15,43,1.29133987625713507e-03,1.29133988332711508e-03,7.06998001809289178e-12
16,44,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
17,45,3.51437546783951249e-04,3.51437543551774841e-04,-3.23217640802939132e-12
18,46,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
19,47,6.61382834298543843e-04,6.61382838745737541e-04,4.44719369836754641e-12
20,48,6.88718078433365632e-01,6.88718078433365632e-01,0.00000000000000000e+00
21,49,6.88376167168554987e-01,6.88376167172584541e-01,4.02955446787700566e-12
22,50,6.88718078433365632e-01,6.88718078433365744e-01,1.11022302462515654e-16
23,51,6.88066805958368555e-01,6.88066805949421934e-01,-8.94662122163936147e-12
24,52,6.88718078433365632e-01,6.88718078433365744e-01,1.11022302462515654e-16
25,53,6.88189078861298875e-01,6.88189078867231574e-01,5.93269877668944901e-12
26,54,6.88718078433365632e-01,6.88718078433365744e-01,1.11022302462515654e-16
27,55,6.87488441879084977e-01,6.87488441875892975e-01,-3.19200221809978757e-12
28,1202,6.86758257303775488e-01,6.86758257320300602e-01,1.65251146100331425e-11
29,1203,6.83054205161137795e-01,6.83054205177647700e-01,1.65099045545957779e-11
30,1204,6.78394854990589824e-01,6.78394854995130414e-01,4.54059012611196522e-12
31,1205,6.73424441444597677e-01,6.73424441457637912e-01,1.30402355580372387e-11
32,1206,6.68323577553630477e-01,6.68323577567506044e-01,1.38755673617652064e-11
33,1207,6.63123735954860072e-01,6.63123735996735353e-01,4.18752810205091919e-11
34,1208,6.57880438651341382e-01,6.57880438675260804e-01,2.39194219986416101e-11
35,1209,6.52616980478561759e-01,6.52616980496473764e-01,1.79120052123948881e-11
36,1210,6.47328431370864821e-01,6.47328431406446581e-01,3.55817597608165670e-11
37,1211,6.42003320681407641e-01,6.42003320689205625e-01,7.79798448036217451e-12
