case,domain_width_um,substrate_depth_um,lateral_condition,node_count,tetrahedron_count,power_mW,peak_rise_K,peak_K_per_mW,ring_mean_K_per_mW,heater_mean_K_per_mW
source_envelope,20,0.5,adiabatic,12761,71808,1.14786346406,18.2608415149,15.9085484352,5.72699226382,14.7701182074
substrate_5um,20,5,adiabatic,13291,74560,1.14787819572,18.3665304978,16.0004176107,5.81928700634,14.8410912206
substrate_50um,20,50,adiabatic,20651,111789,1.14782542852,19.2131929865,16.738776219,6.58047402886,15.605782696
domain_40um,40,0.5,adiabatic,21714,117019,1.1479009332,17.7716472281,15.4818649537,5.38479744679,14.3098353625
domain_80um,80,0.5,adiabatic,48318,248627,1.14789825185,17.8353516149,15.5373976623,5.38999970972,14.3704902418
domain_40um_substrate_5um,40,5,adiabatic,23681,128093,1.14785505794,17.8084898569,15.5145806378,5.44284085955,14.3626206387
domain_40um_substrate_50um,40,50,adiabatic,49498,272758,1.14786915746,18.0636209118,15.7366549962,5.65560105371,14.5761292982
domain_80um_substrate_5um,80,5,adiabatic,56019,293620,1.14789801266,17.9129628875,15.6050125446,5.45049245878,14.4283868355
domain_80um_substrate_50um,80,50,adiabatic,148249,838635,1.14784296047,18.0022469842,15.6835452272,5.54173846411,14.5190630183
ideal_isothermal_sidewall_bound,40,5,isothermal,23681,128093,1.14785505794,17.8060696623,15.5124721882,5.44138550749,14.3605167664
