cell_id,node_0,node_1,node_2,region_id,region_name,centroid_y_um,centroid_z_um,heat_flux_y_W_per_m2,heat_flux_z_W_per_m2
0,110,1,994,1,silicon_wafer,-6.28571428571428736e+00,-2.41666666666666652e+00,-0.00000000000000000e+00,-2.18191837286758423e+06
1,16,136,994,1,silicon_wafer,-6.28571428571428736e+00,-2.08333333333333348e+00,-2.78661846386909485e+05,-2.18191837279701233e+06
2,109,110,996,1,silicon_wafer,-6.85714285714286120e+00,-2.41666666666666652e+00,-0.00000000000000000e+00,-1.87911735175800323e+06
3,136,135,996,1,silicon_wafer,-6.85714285714286120e+00,-2.08333333333333348e+00,-2.51239940431356430e+05,-1.87911735182857513e+06
4,131,15,998,1,silicon_wafer,-9.71428571428571352e+00,-2.08333333333333348e+00,-1.77227907278537750e+04,-1.16482046967315674e+06
5,105,106,995,1,silicon_wafer,-9.14285714285714413e+00,-2.41666666666666652e+00,-0.00000000000000000e+00,-1.20791032293224335e+06
6,108,109,997,1,silicon_wafer,-7.42857142857143327e+00,-2.41666666666666652e+00,-0.00000000000000000e+00,-1.62579667917442322e+06
7,135,134,997,1,silicon_wafer,-7.42857142857143327e+00,-2.08333333333333348e+00,-1.92071236669301987e+05,-1.62579667917442322e+06
8,132,131,995,1,silicon_wafer,-9.14285714285714413e+00,-2.08333333333333348e+00,-5.76844522991180420e+04,-1.20791032282638550e+06
9,0,105,998,1,silicon_wafer,-9.71428571428571352e+00,-2.41666666666666652e+00,-0.00000000000000000e+00,-1.16482046974372864e+06
10,106,107,999,1,silicon_wafer,-8.57142857142857295e+00,-2.41666666666666652e+00,-0.00000000000000000e+00,-1.29662110371398926e+06
11,107,108,1000,1,silicon_wafer,-8.00000000000000355e+00,-2.41666666666666652e+00,-0.00000000000000000e+00,-1.43420551345252991e+06
12,133,132,999,1,silicon_wafer,-8.57142857142857295e+00,-2.08333333333333348e+00,-9.75594140424728394e+04,-1.29662110353755951e+06
13,134,133,1000,1,silicon_wafer,-8.00000000000000355e+00,-2.08333333333333348e+00,-1.43213303246974945e+05,-1.43420551348781586e+06
14,107,133,999,1,silicon_wafer,-8.38095238095238315e+00,-2.25000000000000000e+00,-4.87797069506645203e+04,-1.35236934022903442e+06
15,15,0,998,1,silicon_wafer,-9.90476190476190510e+00,-2.25000000000000000e+00,-8.86139537715911865e+03,-1.15469316071605682e+06
16,106,132,995,1,silicon_wafer,-8.95238095238095077e+00,-2.25000000000000000e+00,-2.88422260966300964e+04,-1.24087286704015732e+06
17,133,107,1000,1,silicon_wafer,-8.19047619047619335e+00,-2.25000000000000000e+00,-7.16066516146659851e+04,-1.35236934021139145e+06
18,135,109,996,1,silicon_wafer,-7.04761904761905100e+00,-2.25000000000000000e+00,-1.25619970220088959e+05,-1.73555167154932022e+06
19,1,16,994,1,silicon_wafer,-6.09523809523809579e+00,-2.25000000000000000e+00,-1.39330923193454742e+05,-2.34115371362733841e+06
20,109,135,997,1,silicon_wafer,-7.23809523809524169e+00,-2.25000000000000000e+00,-9.60356183214187622e+04,-1.73555167154932022e+06
21,136,110,994,1,silicon_wafer,-6.47619047619047894e+00,-2.25000000000000000e+00,-1.39330923193454742e+05,-2.02268303205490112e+06
22,134,108,997,1,silicon_wafer,-7.61904761904762307e+00,-2.25000000000000000e+00,-9.60356183567047119e+04,-1.51604168678188324e+06
