node_id,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
0,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
1,-6.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
2,-5.84999999999999876e+00,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
3,-5.34999999999999964e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
4,-5.25000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
5,-4.74999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
6,-4.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
7,0.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
8,4.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
9,4.74999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
10,5.25000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
11,5.34999999999999964e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
12,5.84999999999999876e+00,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
13,6.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
14,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
15,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00003900990407828e+02,3.00003900990408056e+02,2.27373675443232059e-13
16,-6.00000000000000000e+00,-2.00000000000000000e+00,3.00007909303086592e+02,3.00007909303087160e+02,5.68434188608080149e-13
17,-5.84999999999999876e+00,-2.00000000000000000e+00,3.00008225167889407e+02,3.00008225167890089e+02,6.82121026329696178e-13
18,-5.34999999999999964e+00,-2.00000000000000000e+00,3.00009338804914194e+02,3.00009338804914591e+02,3.97903932025656104e-13
19,-5.25000000000000000e+00,-2.00000000000000000e+00,3.00009597350921240e+02,3.00009597350921524e+02,2.84217094304040074e-13
20,-4.74999999999999911e+00,-2.00000000000000000e+00,3.00010992578749551e+02,3.00010992578750006e+02,4.54747350886464119e-13
21,-4.00000000000000000e+00,-2.00000000000000000e+00,3.00013631844371560e+02,3.00013631844371957e+02,3.97903932025656104e-13
22,0.00000000000000000e+00,-2.00000000000000000e+00,3.00048600795214327e+02,3.00048600795214440e+02,1.13686837721616030e-13
23,4.00000000000000000e+00,-2.00000000000000000e+00,3.00122834828849022e+02,3.00122834828849420e+02,3.97903932025656104e-13
24,4.74999999999999911e+00,-2.00000000000000000e+00,3.00130557107718573e+02,3.00130557107719142e+02,5.68434188608080149e-13
25,5.25000000000000000e+00,-2.00000000000000000e+00,3.00132484010890380e+02,3.00132484010890948e+02,5.68434188608080149e-13
26,5.34999999999999964e+00,-2.00000000000000000e+00,3.00132477516184679e+02,3.00132477516185247e+02,5.68434188608080149e-13
27,5.84999999999999876e+00,-2.00000000000000000e+00,3.00130755375635999e+02,3.00130755375636113e+02,1.13686837721616030e-13
28,6.00000000000000000e+00,-2.00000000000000000e+00,3.00129649300769927e+02,3.00129649300770097e+02,1.70530256582424045e-13
29,1.00000000000000000e+01,-2.00000000000000000e+00,3.00092212265687579e+02,3.00092212265687522e+02,-5.68434188608080149e-14
30,-1.00000000000000000e+01,0.00000000000000000e+00,3.01543516900310522e+02,3.01543516900390330e+02,7.98081600805744529e-11
31,-6.00000000000000000e+00,0.00000000000000000e+00,3.03316787491552304e+02,3.03316787491806394e+02,2.54090082307811826e-10
32,-5.84999999999999876e+00,0.00000000000000000e+00,3.03689869124889015e+02,3.03689869125193127e+02,3.04112290905322880e-10
33,-5.34999999999999964e+00,0.00000000000000000e+00,3.03714943498177718e+02,3.03714943498484843e+02,3.07124992104945704e-10
34,-5.25000000000000000e+00,0.00000000000000000e+00,3.04051361467279378e+02,3.04051361467578488e+02,2.99110070045571774e-10
35,-4.74999999999999911e+00,0.00000000000000000e+00,3.04077559769243862e+02,3.04077559769540755e+02,2.96893176710000262e-10
36,-4.00000000000000000e+00,0.00000000000000000e+00,3.05374209719579710e+02,3.05374209719755186e+02,1.75475634023314342e-10
37,0.00000000000000000e+00,0.00000000000000000e+00,3.19639777351256726e+02,3.19639777351348357e+02,9.16315912036225200e-11
38,4.00000000000000000e+00,0.00000000000000000e+00,3.54778829319670365e+02,3.54778829319855220e+02,1.84854798135347664e-10
39,4.74999999999999911e+00,0.00000000000000000e+00,3.62209635475797825e+02,3.62209635476053052e+02,2.55226950685027987e-10
40,5.25000000000000000e+00,0.00000000000000000e+00,3.62250526599303214e+02,3.62250526599559976e+02,2.56761722994269803e-10
41,5.34999999999999964e+00,0.00000000000000000e+00,3.61964487656052597e+02,3.61964487656329879e+02,2.77282197203021497e-10
42,5.84999999999999876e+00,0.00000000000000000e+00,3.61885287509351940e+02,3.61885287509626551e+02,2.74610556516563520e-10
43,6.00000000000000000e+00,0.00000000000000000e+00,3.58378108738512992e+02,3.58378108738752132e+02,2.39140263147419319e-10
44,1.00000000000000000e+01,0.00000000000000000e+00,3.37376967281959026e+02,3.37376967282060718e+02,1.01692876341985539e-10
45,-1.00000000000000000e+01,2.19999999999999973e-01,3.01682694732511379e+02,3.01682694732597952e+02,8.65725269250106066e-11
46,-6.00000000000000000e+00,2.19999999999999973e-01,3.03512019742157861e+02,3.03512019742418545e+02,2.60683918895665556e-10
47,-5.84999999999999876e+00,2.19999999999999973e-01,3.03696829475855452e+02,3.03696829476159849e+02,3.04396507999626920e-10
48,-5.34999999999999964e+00,2.19999999999999973e-01,3.03720471246474119e+02,3.03720471246781415e+02,3.07295522361528128e-10
49,-5.25000000000000000e+00,2.19999999999999973e-01,3.04057141114108106e+02,3.04057141114407273e+02,2.99166913464432582e-10
50,-4.74999999999999911e+00,2.19999999999999973e-01,3.04087613460459124e+02,3.04087613460756415e+02,2.97291080642025918e-10
51,-4.00000000000000000e+00,2.19999999999999973e-01,3.05858294175033052e+02,3.05858294175217566e+02,1.84513737622182816e-10
52,0.00000000000000000e+00,2.19999999999999973e-01,3.21495058208902265e+02,3.21495058209001570e+02,9.93054527498316020e-11
53,4.00000000000000000e+00,2.19999999999999973e-01,3.61345552112716234e+02,3.61345552112917119e+02,2.00884642254095525e-10
54,4.74999999999999911e+00,2.19999999999999973e-01,3.62396394620410945e+02,3.62396394620666740e+02,2.55795384873636067e-10
55,5.25000000000000000e+00,2.19999999999999973e-01,3.62378492798107231e+02,3.62378492798363993e+02,2.56761722994269803e-10
56,5.34999999999999964e+00,2.19999999999999973e-01,3.62091634065829794e+02,3.62091634066107588e+02,2.77793787972768769e-10
57,5.84999999999999876e+00,2.19999999999999973e-01,3.62062571614397484e+02,3.62062571614672436e+02,2.74951617029728368e-10
58,6.00000000000000000e+00,2.19999999999999973e-01,3.63457103260076508e+02,3.63457103260327131e+02,2.50622633757302538e-10
59,1.00000000000000000e+01,2.19999999999999973e-01,3.40931116939509479e+02,3.40931116939620438e+02,1.10958353616297245e-10
60,-1.00000000000000000e+01,2.21999999999999975e+00,3.02476170251409371e+02,3.02476170251531414e+02,1.22042820294154808e-10
61,-6.00000000000000000e+00,2.21999999999999975e+00,3.04831644642663889e+02,3.04831644642853007e+02,1.89118054549908265e-10
62,-5.84999999999999876e+00,2.21999999999999975e+00,3.05034955311292777e+02,3.05034955311484055e+02,1.91278104466618970e-10
63,-5.34999999999999964e+00,2.21999999999999975e+00,3.05812727931861957e+02,3.05812727932057044e+02,1.95086613530293107e-10
64,-5.25000000000000000e+00,2.21999999999999975e+00,3.05984122687561921e+02,3.05984122687757235e+02,1.95313987205736339e-10
65,-4.74999999999999911e+00,2.21999999999999975e+00,3.06960506711974006e+02,3.06960506712166989e+02,1.92983407032443210e-10
